,0,1,2
2 1 2 1 0 2 2,0.9296377984970774,0.07036220150292259,0.0
2 1 2 2 1 0,0.0,0.48681105842357186,0.5131889415764281
2 1 2 2 1 0 1 2,0.8595887422561646,0.052937209606170654,0.0874740481376648
2 1 2 2 1 0 2 2,0.9193184827633428,0.08068151723665717,0.0
3 0,0.0,0.5983876445052033,0.4016123554947966
3 0 1 1 1,0.0,0.845602783068139,0.1543972169318611
3 0 1 1 1 1 2,0.9687239744229013,0.012986604414580862,0.018289421162517843
3 0 1 1 1 2 2,0.9457719314725748,0.05422806852742527,0.0
3 0 1 1 2,0.0,0.16083935216357875,0.8391606478364212
3 0 1 1 2 1 2,0.0554170604391615,0.10042966082372023,0.8441532787371182
3 0 1 1 2 2 2,0.07861743711316316,0.9213825628868368,0.0
3 0 1 1 4,0.0,0.3580153813424015,0.6419846186575985
3 0 1 1 4 1 2,0.05697387989707738,0.358301834825358,0.5847242852775646
3 0 1 1 4 2 2,0.05668296262816415,0.9433170373718358,0.0
3 0 1 1 5,0.0,0.34170783100265967,0.6582921689973403
3 0 1 1 5 1 2,0.10175315455375504,0.43517882542420855,0.46306802002203645
3 0 1 1 5 2 2,0.06968786135545225,0.9303121386445478,0.0
3 0 1 2,0.02088807247499811,0.7178476741341939,0.261264253390808
3 0 1 2 1 1,0.0,0.7672910609967704,0.23270893900322967
3 0 1 2 1 1 1 2,0.9478439671027586,0.022061103913819224,0.03009492898342213
3 0 1 2 1 1 2 2,0.954078696498448,0.04592130350155195,0.0
3 0 1 2 1 2,0.0,0.15492446653608677,0.8450755334639133
3 0 1 2 1 2 1 2,0.1495071813904779,0.40244060136908877,0.44805221724043337
3 0 1 2 1 2 2 2,0.053645944566281516,0.9463540554337185,0.0
3 0 1 2 1 4,0.0,0.8262868970786772,0.17371310292132283
3 0 1 2 1 4 1 2,0.10553419511367235,0.7966554701577464,0.0978103347285812
3 0 1 2 1 4 2 2,0.03454366730089067,0.9654563326991094,0.0
3 0 1 2 1 5,0.0,0.8462581134513226,0.15374188654867738
3 0 1 2 1 5 1 2,0.12922198926036818,0.812658718086868,0.05811929265276388
3 0 1 2 1 5 2 2,0.04414330417774226,0.9558566958222577,0.0
3 0 1 2 2 1 1,0.0,0.6422084437039944,0.35779155629600556
3 0 1 2 2 1 1 1 2,0.7841797079490794,0.054237415565780954,0.16158287648513964
3 0 1 2 2 1 1 2 2,0.8973363389919343,0.10266366100806565,0.0
3 0 1 2 2 1 2,0.0,0.08302556035974998,0.91697443964025
3 0 1 2 2 1 2 1 2,0.07735066688022017,0.3789616440468659,0.5436876890729139
3 0 1 2 2 1 2 2 2,0.04974581804390389,0.9502541819560961,0.0
3 0 1 2 2 1 4,0.0,0.48537034417174574,0.5146296558282543
3 0 1 2 2 1 4 1 2,0.05707127196021509,0.6790097164517472,0.2639190115880377
3 0 1 2 2 1 4 2 2,0.028047763408885856,0.9719522365911142,0.0
3 0 1 2 2 1 5,0.0,0.5559626691324153,0.4440373308675847
3 0 1 2 2 1 5 1 2,0.07918549152049069,0.7017417989281908,0.21907270955131852
3 0 1 2 2 1 5 2 2,0.03944354998273249,0.9605564500172675,0.0
3 0 2 1 1,0.0,0.4531196745823888,0.5468803254176112
3 0 2 1 1 1 2,0.8880799114975363,0.024971085694656628,0.08694900280780708
3 0 2 1 1 2 2,0.9333118407280226,0.06668815927197735,0.0
3 0 2 1 2,0.0,0.08169791208639328,0.9183020879136067
3 0 2 1 2 1 2,0.07103560807900805,0.17125880886885908,0.7577055830521329
3 0 2 1 2 2 2,0.12298361457751335,0.8770163854224866,0.0
